Timestamp|Steering|SteeringSpeed|Throttle|Brake|BrakeIntensity|SteeringSensor
1773316517.3377476||||None||
1773316517.4378932||||None||
1773316517.5380485||||None||
1773316517.638157||||None||
1773316517.7382727||||None||
1773316517.8385153||||None||
1773316517.9386604||||None||
1773316518.0388072||||None||
1773316518.1389706||||None||
1773316518.2392285||||None||
1773316518.3395817||||None||
1773316518.439726||||None||
1773316518.539883||||None||
1773316518.6400175||||None||
1773316518.7401688||||None||
1773316518.8403275||||None||
1773316518.9404967||||None||
1773316519.0406318||||None||
1773316519.1407614||||None||
1773316519.2409105||||None||
1773316519.3410604||||None||
1773316519.441292||||None||
1773316519.5414073||||None||
1773316519.6414967||||None||
1773316519.7415833||||None||
1773316519.8416848||||None||
1773316519.9417963||||None||
1773316520.0419183||||None||
1773316520.142052||||None||
1773316520.2422173||||None||
1773316520.3423977||||None||
1773316520.442647||||None||
1773316520.5428872||||None||
1773316520.643055||||None||
1773316520.74325||||None||
1773316520.8434272||||None||
1773316520.9436953||||None||
1773316521.0439644||||None||
1773316521.144093||||None||
1773316521.2442305||||None||
1773316521.3444402||||None||
1773316521.4445603||||None||
1773316521.5446968||||None||
1773316521.6448796||||None||
1773316521.74505||||None||
1773316521.8451977||||None||
1773316521.9453537||||None||
1773316522.045645||||None||
1773316522.1459687||||None||
1773316522.246154||||None||
1773316522.346348||||None||
1773316522.4464898||||None||0
1773316522.5466104||||None||13
1773316522.6467237||||None||13
1773316522.7468448||||None||13
1773316522.8469963||||None||13
1773316522.9471903||||None||13
1773316523.0473166||||None||13
1773316523.1474419||||None||13
1773316523.2475557||||None||13
1773316523.3476603||||None||13
1773316523.4477596||||None||13
1773316523.5478835||||None||13
1773316523.648005||||None||13
1773316523.748159||||None||12
1773316523.8483553||||None||13
1773316523.9485662||||None||13
1773316524.0487466||||None||12
1773316524.148938||||None||13
1773316524.2490847||||None||13
1773316524.3492265||||None||12
1773316524.449445||||None||12
1773316524.5496914||||None||13
1773316524.649956||||None||13
1773316524.750225||||None||13
1773316524.850428||||None||12
1773316524.9505432||||None||13
1773316525.0507538||||None||13
1773316525.1511555||||None||13
1773316525.2515373||||None||12
1773316525.351697||||None||13
1773316525.4518325||||None||13
1773316525.5519493||||None||13
1773316525.6520698||||None||13
1773316525.7522104||||None||13
1773316525.8524144||||None||13
1773316525.952624||||None||13
1773316526.0528486||||None||13
1773316526.1529548||||None||13
1773316526.253091||||None||13
1773316526.353244||||None||13
1773316526.4534||||None||13
1773316526.5536172||||None||13
1773316526.6538415||||None||13
1773316526.7539454||||None||13
1773316526.854056||||None||13
1773316526.9541826||||None||12
1773316527.0542872||||None||13
1773316527.1543958||||None||13
1773316527.2546139||||None||13
1773316527.3547618||||None||13
1773316527.4549038||||None||13
1773316527.555113||||None||13
1773316527.655414||||None||13
1773316527.7556555||||None||13
1773316527.8557873||||None||13
1773316527.955928||||None||13
1773316528.0560672||||None||13
1773316528.1562004||||None||13
1773316528.2563386||||None||13
1773316528.3565097||||None||13
1773316528.456657||||None||13
