epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3703.4,0.99114,0.44276,0.00327,0.93039,0.92148,0.95515,0.74482,0.8849,0.41026,0.00417,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3817.59,0.99013,0.44245,0.00318,0.94467,0.89167,0.95336,0.75458,0.85952,0.38989,0.0039,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3931.58,0.98604,0.44447,0.00319,0.92206,0.91665,0.95363,0.76052,0.84443,0.39849,0.00382,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4047.54,0.97933,0.4366,0.00312,0.93958,0.90798,0.95794,0.75707,0.83527,0.38536,0.00391,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4163.41,0.9572,0.42838,0.00299,0.90756,0.92711,0.95193,0.75734,0.84105,0.40673,0.00368,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4279.27,0.96298,0.41737,0.00308,0.94868,0.91596,0.96141,0.76093,0.85032,0.38719,0.0038,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4395.5,0.95685,0.41917,0.00308,0.92548,0.92084,0.95859,0.75994,0.83587,0.38207,0.00371,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4511.45,0.95591,0.41356,0.00306,0.93095,0.9229,0.95316,0.75983,0.82183,0.38849,0.00372,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4626.17,0.94275,0.40979,0.00301,0.90242,0.94216,0.95136,0.76299,0.83637,0.38057,0.0037,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4732.51,0.94038,0.41234,0.00297,0.92078,0.92988,0.95617,0.76339,0.81895,0.3692,0.00359,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4836.47,0.92972,0.40301,0.00291,0.94013,0.92471,0.95908,0.75461,0.86378,0.3757,0.00377,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4941.79,0.94013,0.41202,0.00295,0.91761,0.91042,0.95701,0.77171,0.82941,0.3776,0.00366,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5046.8,0.9415,0.40706,0.00294,0.94598,0.90987,0.95384,0.77771,0.80136,0.37183,0.00341,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
