Timestamp|Steering|SteeringSpeed|Throttle|Brake|SteeringSensor
1773312863.4847968|||||
1773312863.584897|||||15
1773312863.6851072|||||15
1773312863.7852402|||||15
1773312863.885332|||||15
1773312863.9854321|||||15
1773312864.0855434|||||15
1773312864.1856577|||||15
1773312864.2858062|||||15
1773312864.3859406|||||15
1773312864.4861784|||||15
1773312864.586316|||||15
1773312864.6864555|||||15
1773312864.7865999|||||15
1773312864.8867512|||||15
1773312864.9869618|||||15
1773312865.0870714|||||15
1773312865.1872804|||||15
1773312865.2873979|||||15
1773312865.3876526|||||15
1773312865.4878628|||||15
1773312865.5879996|||||15
1773312865.6881964|||||15
1773312865.7883408|||||15
1773312865.888447|||||15
1773312865.9885957|||||15
1773312866.0888715|||||15
1773312866.1891026|||||15
1773312866.2892263|||||15
1773312866.3893545|||||15
1773312866.4894712|||||15
1773312866.5895863|||||15
1773312866.689713|||||15
1773312866.7899194|||||15
1773312866.890148|||||15
1773312866.990275|||||15
1773312867.0903826|||||14
1773312867.1905262|||||15
1773312867.2906823|||||15
1773312867.3907983|||||15
1773312867.4909005|||||15
1773312867.5910373|||||15
1773312867.691162|||||15
1773312867.7912602|||||15
1773312867.8913517|||||15
1773312867.9914546|||||15
1773312868.0915895|||||15
1773312868.1917162|||||15
1773312868.291842|||||15
1773312868.3919811|||||15
1773312868.4921176|||||15
1773312868.592253|||||15
1773312868.6923423|||||15
1773312868.7924497|||||15
1773312868.8925862|||||15
1773312868.9926813|||||15
1773312869.0927908|||||15
1773312869.19292|||||15
1773312869.2931511|||||15
1773312869.3932767|||||15
1773312869.4934068|||||15
1773312869.5935159|||||15
1773312869.6936498|||||15
1773312869.793809|||||15
1773312869.8940532|||||15
1773312869.9943063|||||15
1773312870.0944803|||||15
1773312870.1946347|||||15
1773312870.2947702|||||15
1773312870.394883|||||15
1773312870.4949944|||||15
1773312870.5951047|||||15
1773312870.6952252|||||15
1773312870.7953339|||||15
1773312870.8954763|||||15
1773312870.9956424|||||15
1773312871.0957842|||||15
1773312871.1958945|||||15
